time,open,high,low,close,volume,spread
2025-07-06T00:00:00Z,3333.453,3334.575,3326.383,3328.994,1.25,0.63
2025-07-07T00:00:00Z,3313.41,3328.14,3301.36,3327.505,19.14,0.528
2025-07-08T00:00:00Z,3334.722,3339.565,3287.204,3301.525,17.46,0.599
2025-07-09T00:00:00Z,3302.33,3321.253,3284.48,3319.725,20.69,0.559
2025-07-10T00:00:00Z,3315.807,3330.34,3314.979,3321.593,8.7,0.534
2025-07-11T00:00:00Z,3330.486,3359.257,3325.212,3355.82,30.12,0.65
2025-07-14T00:00:00Z,3367.792,3374.705,3342.485,3345.178,8.22,0.591
2025-07-15T00:00:00Z,3346.718,3362.09,3323.82,3331.091,14.33,0.571
2025-07-16T00:00:00Z,3338.291,3355.2,3322.105,3349.65,17.16,0.615
2025-07-17T00:00:00Z,3339.524,3340.329,3324.78,3339.113,9.59,0.505
2025-07-18T00:00:00Z,3339.98,3361.315,3335.361,3350.33,12.67,0.521
2025-07-21T00:00:00Z,3349.145,3395.895,3347.74,3393.36,12.56,0.544
2025-07-22T00:00:00Z,3396.572,3432.962,3384.69,3431.3,10.77,0.545
2025-07-23T00:00:00Z,3421.16,3431.387,3386.7,3386.85,11.87,0.584
2025-07-24T00:00:00Z,3383.815,3385.95,3351.485,3368.45,16.17,0.588
2025-07-25T00:00:00Z,3363.06,3363.53,3336.432,3337.69,9.8,0.532
2025-07-28T00:00:00Z,3333.415,3343.378,3301.845,3308.05,17.84,0.557
2025-07-29T00:00:00Z,3318.9,3334.207,3311.37,3327.542,10.67,0.548
2025-07-30T00:00:00Z,3327.185,3332.275,3290.043,3298.15,15.87,0.534
2025-07-31T00:00:00Z,3285.349,3313.184,3282.843,3295.075,15.29,0.557
2025-08-01T00:00:00Z,3288.664,3355.218,3286.529,3348.33,16.98,0.564
2025-08-03T00:00:00Z,3359.265,3362.15,3354.635,3362.128,1.1,0.678
2025-08-04T00:00:00Z,3357.66,3384.686,3353.6,3374.802,12.2,0.534
2025-08-05T00:00:00Z,3379.9,3386.662,3365.961,3380.56,22.02,0.524
2025-08-06T00:00:00Z,3374.418,3378.765,3360.295,3370.23,8.6,0.61
2025-08-07T00:00:00Z,3377.76,3400.811,3371.796,3399.855,39.12,0.647
2025-08-08T00:00:00Z,3389.95,3402.707,3381.12,3397.525,71.41,0.85
2025-08-10T00:00:00Z,3395.36,3397.14,3390.075,3391.58,1.36,0.946
2025-08-11T00:00:00Z,3377.705,3380.052,3341.945,3341.98,27.66,0.546
2025-08-12T00:00:00Z,3354.649,3357.543,3340.165,3348.21,21.74,0.544
2025-08-13T00:00:00Z,3350.76,3367.135,3342.732,3357.935,14.19,0.527
2025-08-14T00:00:00Z,3362.795,3364.16,3332.249,3335.572,13.43,0.533
2025-08-15T00:00:00Z,3339.67,3343.7,3335.04,3336.12,8.36,0.515
2025-08-17T00:00:00Z,3334.395,3334.55,3323.619,3327.195,1.25,0.61
2025-08-18T00:00:00Z,3343.404,3355.738,3331.54,3331.985,9.66,0.505
2025-08-19T00:00:00Z,3331.01,3339.73,3315.614,3315.968,11.04,0.5
2025-08-20T00:00:00Z,3315.345,3349.32,3312.465,3348.822,16.51,0.524
2025-08-21T00:00:00Z,3342.36,3346.519,3325.216,3339.39,7.71,0.495
2025-08-22T00:00:00Z,3334.151,3375.59,3325.41,3374.27,10.63,0.481
2025-08-25T00:00:00Z,3362.922,3374.431,3359.8,3365.48,8.33,0.513
2025-08-26T00:00:00Z,3377.535,3380.455,3367.31,3377.59,8.29,0.499
2025-08-27T00:00:00Z,3386.31,3398.28,3375.62,3397.47,11.85,0.527
2025-08-28T00:00:00Z,3389.245,3416.992,3388.9,3414.827,13.88,0.585
2025-08-29T00:00:00Z,3411.44,3453.847,3407.97,3452.787,18.6,0.525
2025-09-01T00:00:00Z,3474.685,3481.472,3467.65,3479.285,12.73,0.693
2025-09-02T00:00:00Z,3496.11,3533.22,3472.14,3529.997,26.43,0.694
2025-09-03T00:00:00Z,3533.915,3576.002,3533.835,3574.43,11.18,0.568
2025-09-04T00:00:00Z,3561.665,3563.512,3532.81,3552.71,17.56,0.595
2025-09-05T00:00:00Z,3558.65,3597.941,3545.96,3586.62,20.07,0.63
2025-09-08T00:00:00Z,3589.735,3646.37,3579.738,3635.3,17.49,0.575
2025-09-09T00:00:00Z,3638.562,3659.395,3636.095,3642.915,15.2,0.621
2025-09-10T00:00:00Z,3636.713,3656.17,3636.7,3644.635,7.46,0.569
2025-09-11T00:00:00Z,3641.125,3643.58,3623.896,3633.94,9.7,0.556
2025-09-12T00:00:00Z,3631.93,3653.915,3630.573,3649.27,11.27,0.548
2025-09-14T00:00:00Z,3644.37,3646.431,3639.963,3642.175,1.07,0.708
2025-09-15T00:00:00Z,3633.432,3685.605,3626.512,3678.836,21.72,0.581
