time,open,high,low,close,volume,spread
2025-07-21T00:00:00Z,0.65271,0.65305,0.65209,0.65274,8467.66,0.00019
2025-07-22T00:00:00Z,0.65274,0.65596,0.6504,0.6553,126522.46,0.00011
2025-07-23T00:00:00Z,0.65531,0.66029,0.65502,0.6601,69332.51,9e-05
2025-07-24T00:00:00Z,0.66149,0.66196,0.65862,0.659,24611.39,0.0001
2025-07-25T00:00:00Z,0.65865,0.65882,0.65565,0.65643,27662.67,9e-05
2025-07-27T00:00:00Z,0.65724,0.65749,0.65702,0.65709,2393.72,0.00011
2025-07-28T00:00:00Z,0.65498,0.65528,0.65132,0.6522,34799.41,0.0001
2025-07-29T00:00:00Z,0.65136,0.65254,0.6497,0.651,31244.5,9e-05
2025-07-30T00:00:00Z,0.65255,0.6529,0.64309,0.64455,65261.81,0.0001
2025-07-31T00:00:00Z,0.64429,0.64525,0.64241,0.64258,43045.83,0.0001
2025-08-01T00:00:00Z,0.64334,0.64933,0.64209,0.6467,73570.67,0.0001
2025-08-04T00:00:00Z,0.64738,0.64856,0.64602,0.64741,29991.4,9e-05
2025-08-05T00:00:00Z,0.6465,0.64782,0.64554,0.64688,21710.26,0.0001
2025-08-06T00:00:00Z,0.6483,0.65065,0.6483,0.65029,13843.96,0.0001
2025-08-07T00:00:00Z,0.65104,0.65287,0.65031,0.65236,31664.08,0.0001
2025-08-08T00:00:00Z,0.65214,0.65292,0.65166,0.65253,14205.41,9e-05
2025-08-10T00:00:00Z,0.65217,0.65231,0.65189,0.65214,1204.61,0.00011
2025-08-11T00:00:00Z,0.65217,0.6525,0.65012,0.65111,33760.33,9e-05
2025-08-12T00:00:00Z,0.65161,0.65343,0.64819,0.65285,26797.08,9e-05
2025-08-13T00:00:00Z,0.65285,0.65581,0.65276,0.65438,21355.1,0.00022
2025-08-14T00:00:00Z,0.65534,0.65688,0.64892,0.6495,52462.64,9e-05
2025-08-15T00:00:00Z,0.6498,0.65149,0.6492,0.65078,28282.48,9e-05
2025-08-18T00:00:00Z,0.65133,0.6521,0.64816,0.64945,40982.15,9e-05
2025-08-19T00:00:00Z,0.64885,0.64963,0.645,0.64536,35417.51,0.0001
2025-08-20T00:00:00Z,0.64433,0.64485,0.64271,0.64339,21538.89,9e-05
2025-08-21T00:00:00Z,0.64219,0.64284,0.64153,0.64201,21133.1,0.00019
2025-08-22T00:00:00Z,0.64227,0.64982,0.64177,0.64949,71825.09,0.0001
2025-08-24T00:00:00Z,0.64881,0.64897,0.6484,0.64847,2269.94,0.0001
2025-08-25T00:00:00Z,0.64811,0.6504,0.64779,0.64792,23584.22,9e-05
2025-08-26T00:00:00Z,0.64728,0.64955,0.64718,0.64943,20612.01,0.0001
2025-08-27T00:00:00Z,0.64953,0.65123,0.64694,0.65033,26841.05,0.00013
2025-08-28T00:00:00Z,0.65119,0.65345,0.65087,0.65251,35746.31,9e-05
2025-08-29T00:00:00Z,0.65309,0.65471,0.6528,0.65448,27039.24,9e-05
2025-09-01T00:00:00Z,0.65474,0.65555,0.65351,0.65531,15206.27,0.00015
2025-09-02T00:00:00Z,0.65364,0.65428,0.6501,0.65206,54803.68,9e-05
2025-09-03T00:00:00Z,0.65149,0.65518,0.65094,0.65449,28859.77,9e-05
2025-09-04T00:00:00Z,0.65185,0.6525,0.65069,0.65223,24604.95,9e-05
2025-09-05T00:00:00Z,0.65277,0.65636,0.6527,0.65556,15442.0,9e-05
2025-09-07T00:00:00Z,0.65467,0.65551,0.65467,0.65549,4399.52,0.00011
2025-09-08T00:00:00Z,0.65637,0.65966,0.65572,0.65905,20101.27,0.00012
2025-09-09T00:00:00Z,0.66065,0.66148,0.65817,0.65856,29034.57,0.00017
2025-09-10T00:00:00Z,0.66127,0.66292,0.66057,0.66185,26207.93,0.0001
2025-09-11T00:00:00Z,0.6612,0.66629,0.66068,0.66619,40103.2,9e-05
2025-09-12T00:00:00Z,0.66678,0.66688,0.6645,0.66528,24544.55,9e-05
2025-09-14T00:00:00Z,0.66485,0.6649,0.66461,0.66489,1488.49,0.0001
2025-09-15T00:00:00Z,0.6661,0.66731,0.66543,0.66726,22310.65,9e-05
2025-09-16T00:00:00Z,0.66683,0.66888,0.66618,0.66886,22008.21,9e-05
2025-09-17T00:00:00Z,0.66776,0.66799,0.66509,0.66531,15587.6,9e-05
2025-09-18T00:00:00Z,0.66522,0.66537,0.66118,0.6616,74864.72,9e-05
